job_title,company_name,company_location,job_nature,job_skills
SAP Data Entry,Infinity Clinic Pharma -,"Gamasa, Dakahlia, Egypt ",Full Time,Entry Level · 1 - 3 Yrs of Exp · Administration · Customer Service/Support · Analyst/Research · accuracy · Administration · Communication skills · Data Entry · Data · SAP · Microsoft Office
Financial Analyst,Semak -,"Dokki, Giza, Egypt ",Full Time,Experienced · 4 - 6 Yrs of Exp · Accounting/Finance · Accounting · Financial · Financial Modeling · Financial Analysis · business
Financial Analyst,The Address Investments for Real Estate Consultancy -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 3 - 4 Yrs of Exp · Accounting/Finance · Corporate Finance · Economics · Finance · Financial Analysis · Forecasting · Accounting · Financial · Financial Forecasting
Senior Operation Control,Amreyah Cement - InterCement -,"Alexandria, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Analyst/Research · Data Analyst · Data Analysis · Statistics · Supply Chain · Communication · Operations Management
Market Research Analyst,Bridge for food industry -,"Banha, Qalubia, Egypt ",Full Time,Experienced · 1 - 2 Yrs of Exp · Marketing/PR/Advertising · Market Research · E-Marketing
Senior Business Analyst,Bydotpy -,"New Cairo, Cairo, Egypt ",Full Time,Manager · 3 - 5 Yrs of Exp · Project/Program Management · Analyst/Research · Strategy/Consulting · business · Analysis · Business Analysis
Credit Analyst,Sky Holding -,"Katameya, Cairo, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Finance · Analysis · Accounting · Business Administration · Credit Analysis · Financial Analysis · credit
Associate Business Analyst,CRIF EGYPT -,"Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Analyst/Research · Analysis · Business Analysis
"Monitoring, Evaluation and Data Management Officer",Terre des hommes -,"Dokki, Giza, Egypt ",Full Time,Entry Level · 1 - 3 Yrs of Exp · Other · Analyst/Research · Data Analysis · Data Management · Microsoft Office
SOC Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Maadi, Cairo, Egypt ",Full Time,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · CEH · CIH · Computer Science · Information Technology (IT) · SIEM · Technical Analysis
Marketing Controlling Analyst,Target Recruitment  & HR Solutions  -,"Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Analytics · CMA · Communication skills · English · excel · FMCG · Market Research · Marketing
QC Finished Product Analyst,APEX Pharma -,"Badr City, Cairo, Egypt ",Full Time,Entry Level · 1 - 2 Yrs of Exp · Quality · Analyst/Research · Pharmaceutical · Pharmaceutical · Quality Control · QC
Business System Analyst,Nadeer -,"Cairo, Egypt ",Full Time,Experienced · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Business Analysis · System Analysis · Bussiness System Analysis
Budgeting & Planning Manager,Nacita -,"Cairo, Egypt ",Full Time,Manager · 8 - 15 Yrs of Exp · Accounting/Finance · Budgeting · Planning · Financial Analyst · Finance
